#1	2	3	4	5		 6		7		 8 9	10
#n i j k X[0] X[1] X[2] J dJ av_dA
#step: 0
91	3	4	0	0.00171429	0.00257143	5e-07	-3.3456e+09	-3.3456e+09	-9.28295e-06
92	4	4	0	0.00228571	0.00257143	5e-07	-4.1344e+09	-4.1344e+09	-1.0616e-05
93	5	4	0	0.00285714	0.00257143	5e-07	-4.7328e+09	-4.7328e+09	-1.1744e-05
94	6	4	0	0.00342857	0.00257143	5e-07	-5.1408e+09	-5.1408e+09	-1.26619e-05
95	7	4	0	0.004	0.00257143	5e-07	-5.4944e+09	-5.4944e+09	-1.33858e-05
96	8	4	0	0.00457143	0.00257143	5e-07	-5.7392e+09	-5.7392e+09	-1.39188e-05
97	9	4	0	0.00514286	0.00257143	5e-07	-5.8752e+09	-5.8752e+09	-1.42674e-05
98	10	4	0	0.00571429	0.00257143	5e-07	-5.9568e+09	-5.9568e+09	-1.44409e-05
99	11	4	0	0.00628571	0.00257143	5e-07	-5.9568e+09	-5.9568e+09	-1.44409e-05
100	12	4	0	0.00685714	0.00257143	5e-07	-5.8752e+09	-5.8752e+09	-1.42673e-05
101	13	4	0	0.00742857	0.00257143	5e-07	-5.7392e+09	-5.7392e+09	-1.39187e-05
102	14	4	0	0.008	0.00257143	5e-07	-5.4944e+09	-5.4944e+09	-1.33857e-05
103	15	4	0	0.00857143	0.00257143	5e-07	-5.1408e+09	-5.1408e+09	-1.26619e-05
104	16	4	0	0.00914286	0.00257143	5e-07	-4.7328e+09	-4.7328e+09	-1.1744e-05
105	17	4	0	0.00971429	0.00257143	5e-07	-4.1344e+09	-4.1344e+09	-1.0616e-05
106	18	4	0	0.0102857	0.00257143	5e-07	-3.3456e+09	-3.3456e+09	-9.28294e-06
107	19	4	0	0.0108571	0.00257143	5e-07	-2.4752e+09	-2.4752e+09	-7.75904e-06
108	20	4	0	0.0114286	0.00257143	5e-07	-3.264e+08	-3.264e+08	-6.07551e-06
109	21	4	0	0.012	0.00257143	5e-07	0	0	-4.8142e-06
110	0	5	0	0	0.00314286	5e-07	0	0	-4.01337e-06
111	1	5	0	0.000571429	0.00314286	5e-07	-1.36e+08	-1.36e+08	-4.98935e-06
112	2	5	0	0.00114286	0.00314286	5e-07	-1.768e+09	-1.768e+09	-6.30308e-06
113	3	5	0	0.00171429	0.00314286	5e-07	-2.448e+09	-2.448e+09	-7.51498e-06
114	4	5	0	0.00228571	0.00314286	5e-07	-3.0464e+09	-3.0464e+09	-8.58985e-06
115	5	5	0	0.00285714	0.00314286	5e-07	-3.4544e+09	-3.4544e+09	-9.50774e-06
116	6	5	0	0.00342857	0.00314286	5e-07	-3.8352e+09	-3.8352e+09	-1.02714e-05
117	7	5	0	0.004	0.00314286	5e-07	-4.08e+09	-4.08e+09	-1.08735e-05
118	8	5	0	0.00457143	0.00314286	5e-07	-4.2704e+09	-4.2704e+09	-1.13214e-05
119	9	5	0	0.00514286	0.00314286	5e-07	-4.4064e+09	-4.4064e+09	-1.1618e-05
120	10	5	0	0.00571429	0.00314286	5e-07	-4.4608e+09	-4.4608e+09	-1.17645e-05
121	11	5	0	0.00628571	0.00314286	5e-07	-4.4608e+09	-4.4608e+09	-1.17645e-05
122	12	5	0	0.00685714	0.00314286	5e-07	-4.4064e+09	-4.4064e+09	-1.1618e-05
123	13	5	0	0.00742857	0.00314286	5e-07	-4.2704e+09	-4.2704e+09	-1.13214e-05
124	14	5	0	0.008	0.00314286	5e-07	-4.08e+09	-4.08e+09	-1.08734e-05
125	15	5	0	0.00857143	0.00314286	5e-07	-3.8352e+09	-3.8352e+09	-1.02714e-05
126	16	5	0	0.00914286	0.00314286	5e-07	-3.4544e+09	-3.4544e+09	-9.50772e-06
127	17	5	0	0.00971429	0.00314286	5e-07	-3.0464e+09	-3.0464e+09	-8.58984e-06
128	18	5	0	0.0102857	0.00314286	5e-07	-2.448e+09	-2.448e+09	-7.51498e-06
129	19	5	0	0.0108571	0.00314286	5e-07	-1.768e+09	-1.768e+09	-6.30309e-06
130	20	5	0	0.0114286	0.00314286	5e-07	-1.36e+08	-1.36e+08	-4.98936e-06
131	21	5	0	0.012	0.00314286	5e-07	0	0	-4.01337e-06
